bear,video,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP,L4_swing_start,L4_stance_start,L4_swing,L4_stance,L4_period,L4_duty_factor,L4_step_length,L4_pull_back,L4_stride_length,L4_stride_speed,L4_AEP,L4_PEP,R4_swing_start,R4_stance_start,R4_swing,R4_stance,R4_period,R4_duty_factor,R4_step_length,R4_pull_back,R4_stride_length,R4_stride_speed,R4_AEP,R4_PEP
05082019-Bear1,1,364.83287269652664,33.16458954969894,36,68,0.64,0.8,1.44,0.5555555555555556,120.45,26.45151224410431,144.3160593974212,98.64819822930822,"(1104.0, 909.0)","(1104.0, 1128.0)",21,37,0.32,0.82,1.14,0.7192982456140351,80.2924653999365,39.90817585407782,128.79515712945113,85.4070017953954,"(1200.0, 1032.0)","(1224.0, 1176.0)",21,40,0.38,1.04,1.42,0.7323943661971831,74.54275618730502,84.55344463710512,150.37647754885072,86.05654693273554,"(1089.0, 1170.0)","(1101.0, 1305.0)",51,73,0.44,0.94,1.38,0.6811594202898551,104.00236776150821,44.58054508415078,140.33732575476847,102.8330381876912,"(1239.0, 1005.0)","(1233.0, 1194.0)",7,24,0.34,0.8,1.14,0.7017543859649124,108.05925457821742,24.024362634625714,118.81145778080497,99.87890867891966,"(1125.0, 1302.0)","(1101.0, 1497.0)",18,35,0.34,1.18,1.52,0.7763157894736842,89.84549237440909,56.43868354240734,155.41563627897938,101.16383106144066,"(1266.0, 1272.0)","(1245.0, 1434.0)",16,39,0.46,0.24,0.7,0.34285714285714286,58.03216780372762,16.5,107.36417000098311,94.40349785978943,"(1182.0, 1557.0)","(1155.0, 1659.0)",41,71,0.6,0.16,0.76,0.21052631578947367,89.16109016830156,0.0,64.87669072941375,102.03947368421053,"(1272.0, 1407.0)","(1266.0, 1569.0)"
05082019-Bear1,1,364.83287269652664,33.16458954969894,108,131,0.46,0.88,1.34,0.6567164179104478,118.30626568360613,48.55599859955514,137.30736506101923,128.08337898215308,"(1131.0, 648.0)","(1101.0, 861.0)",78,94,0.32,1.0,1.32,0.7575757575757576,89.10000000000001,54.42499425815312,158.70907346462585,112.67347735824968,"(1209.0, 798.0)","(1209.0, 960.0)",92,110,0.36,0.8,1.16,0.6896551724137931,71.23720937824558,58.592426985063526,165.03299670065985,132.4755294523713,"(1104.0, 897.0)","(1134.0, 1023.0)",120,146,0.52,0.48,1.0,0.48,95.92731623474099,18.81289451413578,122.14458645392355,132.37072939286844,"(1248.0, 750.0)","(1236.0, 924.0)",64,91,0.54,0.96,1.5,0.64,96.05494521366404,50.2641024987018,155.1087763474395,110.19782212004013,"(1128.0, 1086.0)","(1113.0, 1260.0)",94,113,0.38,0.64,1.02,0.6274509803921569,100.77164779837632,23.624404754405983,110.85740841278947,115.26231929444657,"(1248.0, 990.0)","(1239.0, 1173.0)",51,84,0.66,0.32,0.98,0.326530612244898,90.88489973587473,0.0,97.40591614475993,102.70408163265307,"(1173.0, 1362.0)","(1182.0, 1527.0)",79,105,0.52,0.24,0.76,0.3157894736842105,64.87669072941375,16.82676439485619,114.27962416809045,113.22825230088812,"(1257.0, 1290.0)","(1272.0, 1407.0)"
05082019-Bear1,1,364.83287269652664,33.16458954969894,175,192,0.34,0.84,1.18,0.711864406779661,89.11527646817913,20.674440742133754,160.1860246713177,100.83321363585733,"(1113.0, 399.0)","(1116.0, 561.0)",144,162,0.36,0.62,0.98,0.6326530612244898,105.65154991764201,16.58229477484947,114.81439369695771,128.0034832017737,"(1227.0, 510.0)","(1233.0, 702.0)",150,175,0.5,1.04,1.54,0.6753246753246753,107.4528850240886,59.60589316502187,145.43418614617406,109.33297297518182,"(1110.0, 597.0)","(1122.0, 792.0)",170,190,0.4,0.82,1.22,0.6721311475409836,104.27686704154475,36.524306974944786,150.2315712491885,112.77432289217838,"(1242.0, 528.0)","(1257.0, 717.0)",139,155,0.32,0.9,1.22,0.7377049180327869,110.40213992491269,33.0412242509263,148.53666214103507,120.7405845872076,"(1125.0, 804.0)","(1092.0, 1002.0)",145,163,0.36,0.84,1.2,0.7,110.15526542113183,55.0714535853195,158.70907346462585,126.52988777360075,"(1263.0, 789.0)","(1206.0, 981.0)",100,126,0.52,0.46,0.98,0.46938775510204084,97.40591614475993,9.621070626494745,127.06071383397783,114.53930502161906,"(1140.0, 1188.0)","(1173.0, 1362.0)",117,154,0.74,0.22,0.96,0.22916666666666669,97.57347231701864,6.80312428226914,108.94998852684658,125.89183803095618,"(1239.0, 1083.0)","(1251.0, 1260.0)"
05082019-Bear1,1,364.83287269652664,33.16458954969894,,,,,,,,,,,,,193,,,,,,,,,,,"(1224.0, 480.0)",,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,"(1128.0, 744.0)",205,,,,,,,,,,,"(1248.0, 690.0)",149,185,0.72,0.14,0.86,0.16279069767441862,118.98319209031165,0.0,84.93894866314275,136.2749647171238,"(1143.0, 957.0)","(1131.0, 1173.0)",165,201,0.72,0.38,1.1,0.3454545454545454,102.41968804873407,23.15885359857003,97.7268131067416,115.85011868789778,"(1245.0, 885.0)","(1236.0, 1071.0)"
05082019-Bear1,1,364.83287269652664,33.16458954969894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,223,0.62,0.2,0.82,0.24390243902439027,84.93894866314275,0.0,104.19243716071591,98.78218155729466,"(1164.0, 804.0)","(1143.0, 957.0)",,,,,,,,,,,,
05082019-Bear1,1,364.83287269652664,33.16458954969894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,"(1164.0, 804.0)",,,,,,,,,,,,
05082019-Bear1,2,339.5598621745509,37.07913833950299,,4,,,,,,,,,"(919.0, 1084.0)",,16,36,0.4,0.86,1.26,0.6825396825396826,114.27433001334991,35.86826591849682,143.94877561132643,111.06275166434621,"(1094.0, 1094.0)","(919.0, 1206.0)",93,112,0.38,0.86,1.24,0.6935483870967741,103.51841623595291,37.593616479397134,140.92240772850855,122.97494018340217,"(1191.0, 910.0)","(1046.0, 1030.0)",,14,,,,,,,,,"(918.0, 1257.0)",,6,25,0.38,0.98,1.36,0.7205882352941175,96.84530189947264,46.09840018916058,170.2736400621071,94.9196712947449,"(764.0, 1222.0)","(638.0, 1345.0)",47,67,0.4,0.8,1.2,0.6666666666666667,99.99871249171161,58.33630944789018,169.82981187059005,142.27097824222622,"(987.0, 1230.0)","(843.0, 1341.0)",15,23,0.16,0.44,0.6,0.7333333333333334,44.33559518039653,21.702361622643746,148.54582626247026,117.48005149811607,"(579.0, 1461.0)","(522.0, 1518.0)",,12,,,,,,,,,"(621.0, 1548.0)",
05082019-Bear1,2,339.5598621745509,37.07913833950299,54,68,0.28,0.7,0.98,0.7142857142857143,71.73020632899365,50.21593372625864,181.29154696234463,123.7471365766179,"(1082.0, 964.0)","(979.0, 1044.0)",79,100,0.42,0.7,1.12,0.6249999999999999,108.28856126110459,49.438851119337315,138.39578208890617,144.29229591822303,"(1320.0, 962.0)","(1147.0, 1056.0)",155,171,0.32,0.72,1.04,0.6923076923076923,104.21883227133186,71.12246480543261,168.7639846057209,173.86898090858347,"(1410.0, 777.0)","(1255.0, 886.0)",63,84,0.42,0.78,1.2,0.65,122.44264984064989,49.83497767632689,165.29490312771293,144.9761295006871,"(1151.0, 1085.0)","(971.0, 1216.0)",74,97,0.46,0.66,1.12,0.5892857142857143,126.4114907751665,40.65910107220769,150.71204331439478,152.42607175325207,"(1018.0, 1045.0)","(843.0, 1194.0)",107,127,0.4,0.62,1.02,0.6078431372549019,113.64655736096894,14.193836690620335,149.2315315206542,95.56447668538895,"(1248.0, 1065.0)","(1062.0, 1155.0)",45,83,0.76,0.52,1.28,0.40625,132.74042338338387,87.82279032233035,125.49765934072238,133.37904210208706,"(756.0, 1257.0)","(618.0, 1455.0)",35,52,0.34,0.36,0.7,0.5142857142857143,68.84673194858273,0.0,124.84515409097784,101.68551459057983,"(750.0, 1443.0)","(663.0, 1533.0)"
05082019-Bear1,2,339.5598621745509,37.07913833950299,103,125,0.44,0.88,1.32,0.6666666666666666,131.1008962593315,41.50951698104906,160.6395499246683,131.84389443580616,"(1375.0, 813.0)","(1162.0, 920.0)",135,155,0.4,0.78,1.18,0.6610169491525424,92.21156380845085,47.90054801356661,174.4809445183055,132.2489124688036,"(1519.0, 808.0)","(1404.0, 930.0)",207,,,,,,,,,,,"(1539.0, 768.0)",123,140,0.34,0.9,1.24,0.7258064516129032,117.16420101720492,49.57633003762986,130.72078067392346,145.5947158378928,"(1412.0, 936.0)","(1218.0, 1024.0)",130,156,0.52,0.62,1.14,0.543859649122807,110.99784907825918,31.999414057135485,155.45455927697972,136.4907559298198,"(1246.0, 893.0)","(1086.0, 1016.0)",158,187,0.58,0.78,1.36,0.5735294117647058,135.92234915568523,33.409953606672374,159.53067169562212,142.7344382542431,"(1470.0, 909.0)","(1263.0, 1044.0)",109,125,0.32,0.1,0.42,0.2380952380952381,37.98585262963042,0.0,31.866793061116148,115.542752048843,"(957.0, 1149.0)","(900.0, 1188.0)",70,101,0.62,0.5,1.12,0.4464285714285714,124.84515409097784,31.738383701757723,125.85509524846422,136.50107489344663,"(909.0, 1281.0)","(750.0, 1443.0)"
05082019-Bear1,2,339.5598621745509,37.07913833950299,169,187,0.36,0.66,1.02,0.6470588235294118,119.30056579916125,13.22289680818844,170.96554844350646,133.12950286421102,"(1634.0, 678.0)","(1439.0, 773.0)",194,,,,,,,,,,,"(1606.0, 804.0)",,,,,,,,,,,,,185,200,0.3,0.64,0.94,0.6808510638297873,89.64156402026909,43.061874088339444,148.0078419008182,119.3746081883696,"(1620.0, 821.0)","(1462.0, 861.0)",235,,,,,,,,,,,"(1556.0, 744.0)",226,,,,,,,,,,,"(1527.0, 888.0)",130,136,0.12,0.36,0.48,0.75,31.866793061116148,7.379024325749307,98.8899388208932,90.7526041293031,"(978.0, 1095.0)","(957.0, 1149.0)",126,150,0.48,0.46,0.94,0.4893617021276596,98.11605373230215,11.55,127.33895711839328,145.22547875144912,"(1098.0, 1152.0)","(966.0, 1272.0)"
